text,target_level,quality
Mau tidur siang bentar abis pulang sekolah capek banget,Self,Standard
Minum air putih yang banyak biar gak dehidrasi,Self,Standard
Makan sayur bayam buatan mama,Self,Standard
Nabung sisa uang jajan 2 ribu di celengan,Self,Standard
Cuci muka sebelum tidur biar gak jerawatan,Self,Standard
Main game 30 menit buat hiburan,Self,Standard
Dengerin lagu favorit di kamar sendirian,Self,Standard
Gak begadang malem ini mau tidur jam 9,Self,Standard
Sarapan roti sebelum berangkat sekolah,Self,Standard
Beli es krim buat nyenengin diri sendiri,Self,Standard
Istirahat sejenak dari tugas numpuk,Self,Standard
Mandi air anget biar rileks,Self,Standard
Nonton satu episode anime kesukaan,Self,Standard
Jalan-jalan sore keliling komplek,Self,Standard
Beresin kasur sendiri pas bangun,Self,Standard
Ngerjain hobi gambar pas lagi luang,Self,Standard
Beli pulpen lucu buat semangat belajar,Self,Standard
Makan tepat waktu biar maag gak kambuh,Self,Standard
Sisiran yang rapi biar ganteng,Self,Standard
Pake masker wajah biasa,Self,Standard
Potong kuku yang udah panjang,Self,Standard
Gosok gigi abis makan coklat,Self,Standard
Beli jajanan kantin yang aku suka,Self,Standard
Duduk santai di taman sekolah pas istirahat,Self,Standard
Gak main hp pas lagi makan,Self,Standard
Minum susu biar tinggi,Self,Standard
Pakai baju yang nyaman buat di rumah,Self,Standard
Nabung recehan kembalian angkot,Self,Standard
Liat pemandangan langit sore,Self,Standard
Tidur cukup 8 jam,Self,Standard
Makan buah pisang satu biji,Self,Standard
Beli stiker buat ditempel di laptop,Self,Standard
Nonton youtube channel favorit bentar,Self,Standard
Scroll tiktok 15 menit buat ketawa,Self,Standard
Pake parfum biar wangi,Self,Standard
Nyemil biskuit pas lagi laper,Self,Standard
Keramas biar kepala dingin,Self,Standard
Ganti sprei kasur biar tidur enak,Self,Standard
Beli kuota buat internetan sendiri,Self,Standard
Makan bakso pas ujan ujan,Self,Standard
Pakai jaket pas lagi dingin,Self,Standard
Minum vitamin C satu butir,Self,Standard
Rebahan bentar di sofa,Self,Standard
Baca komik satu chapter,Self,Standard
Nguncir rambut biar gak gerah,Self,Standard
Pake sepatu yang gak bikin lecet,Self,Standard
Bawa bekel dari rumah biar hemat,Self,Standard
Beli minuman dingin pas panas terik,Self,Standard
Nulis jadwal pelajaran besok,Self,Standard
Charger hp biar gak lowbat pas dipake,Self,Standard
Lari pagi keliling stadion 3 putaran non-stop,Self,Exceptional
Puasa sosmed seharian biar pikiran tenang,Self,Exceptional
Baca buku non-fiksi 20 halaman hari ini,Self,Exceptional
Nabung 50% uang jajan buat beli sepatu impian,Self,Exceptional
Belajar 1 jam full fokus,Self,Exceptional
